"","country","year","y","y_bin","x1","x2","x3","opinion","time","treated","did"
"1","A",1990,1342787840,1,0.277903646230698,-1.10795593261719,0.28255358338356,"Str agree",0,0,0
"2","A",1991,-1899660544,0,0.3206847012043,-0.94871997833252,0.49253848195076,"Disag",0,0,0
"3","A",1992,-11234363,0,0.36346572637558,-0.789484024047852,0.702523350715637,"Disag",0,0,0
"4","A",1993,2645775360,1,0.246144041419029,-0.885532975196838,-0.0943909212946892,"Disag",0,0,0
"5","A",1994,3008334848,1,0.424623042345047,-0.7297682762146,0.946130633354187,"Disag",1,0,0
"6","A",1995,3229574144,1,0.477214127779007,-0.723245978355408,1.02968037128448,"Str agree",1,0,0
"7","A",1996,2756754176,1,0.499805003404617,-0.781571567058563,1.09228813648224,"Disag",1,0,0
"8","A",1997,2771810560,1,0.0516283884644508,-0.704845488071442,1.41590082645416,"Str agree",1,0,0
"9","A",1998,3397338880,1,0.366410791873932,-0.698371231555939,1.54872274398804,"Disag",1,0,0
"10","A",1999,39770336,1,0.395842522382736,-0.64315402507782,1.79419803619385,"Str disag",1,0,0
"11","B",1990,-5934699520,0,-0.0818499773740768,1.42512023448944,0.0234281159937382,"Agree",0,0,0
"12","B",1991,-711623744,0,0.106160014867783,1.64960181713104,0.260362505912781,"Str agree",0,0,0
"13","B",1992,-1933116160,0,0.353785187005997,1.59371912479401,-0.234398767352104,"Agree",0,0,0
"14","B",1993,3072741632,1,0.726776957511902,1.69175755977631,0.25622433423996,"Str disag",0,0,0
"15","B",1994,3768078848,1,0.719394862651825,1.74142611026764,0.411749511957169,"Disag",1,0,0
"16","B",1995,2837581312,1,0.671546578407288,1.70831394195557,0.535843014717102,"Str disag",1,0,0
"17","B",1996,577199360,1,0.81985729932785,1.53249609470367,-0.49964901804924,"Str agree",1,0,0
"18","B",1997,1786851584,1,0.880167186260223,1.50219619274139,-0.576267719268799,"Disag",1,0,0
"19","B",1998,-149072048,0,0.704516112804413,1.42364633083344,-0.448419243097305,"Agree",1,0,0
"20","B",1999,-1174480128,0,0.23696731030941,1.45458590984344,-0.0493639931082726,"Str disag",1,0,0
"21","C",1990,-1292379264,0,1.31256067752838,-1.29313564300537,0.20408296585083,"Agree",0,0,0
"22","C",1991,-3415966464,0,1.17748355865479,-1.34421801567078,0.283971875905991,"Str agree",0,0,0
"23","C",1992,-355804672,0,1.25640797615051,-1.25995099544525,0.373392701148987,"Agree",0,0,0
"24","C",1993,1225180032,1,1.42154455184937,-1.31174516677856,-0.375965625047684,"Disag",0,0,0
"25","C",1994,3802287616,1,1.11419308185577,-1.28499484062195,0.560467541217804,"Str disag",1,0,0
"26","C",1995,1959696640,1,1.15948390960693,-1.2188276052475,0.69540798664093,"Agree",1,0,0
"27","C",1996,530576672,1,1.16045427322388,-1.23500633239746,0.816893815994263,"Agree",1,0,0
"28","C",1997,3128852224,1,1.44641160964966,-1.32759642601013,-0.142069071531296,"Str disag",1,0,0
"29","C",1998,3201045760,1,1.15162670612335,-1.2061128616333,1.19458138942719,"Str agree",1,0,0
"30","C",1999,4663067648,1,1.19054412841797,-1.12661719322205,1.67016041278839,"Disag",1,0,0
"31","D",1990,1883025152,1,-0.313912689685822,1.73665571212769,0.64663702249527,"Disag",0,0,0
"32","D",1991,6037768704,1,0.360091000795364,2.13186407089233,1.09994173049927,"Disag",0,0,0
"33","D",1992,10244189,1,0.0518877021968365,1.68167746067047,0.969768226146698,"Str agree",0,0,0
"34","D",1993,5067265024,1,0.209443539381027,1.61497688293457,-0.21257820725441,"Str agree",0,0,0
