date,1,2,3,4,5,6,7,8,9,10,15,20,25,30,40
1974/9/24,10.327,9.362,8.83,8.515,8.348,8.29,8.24,8.121,8.127,-,-,-,-,-,-
1974/9/25,10.333,9.364,8.831,8.516,8.348,8.29,8.24,8.121,8.127,-,-,-,-,-,-
1974/9/26,10.34,9.366,8.832,8.516,8.348,8.29,8.24,8.122,8.128,-,-,-,-,-,-
1974/9/27,10.347,9.367,8.833,8.517,8.349,8.29,8.24,8.122,8.128,-,-,-,-,-,-
1974/9/28,10.354,9.369,8.834,8.518,8.349,8.291,8.24,8.122,8.129,-,-,-,-,-,-
1974/9/30,10.368,9.373,8.836,8.519,8.35,8.291,8.24,8.122,8.13,-,-,-,-,-,-
1974/10/1,10.374,9.374,8.837,8.519,8.354,8.298,8.244,8.119,8.201,-,-,-,-,-,-
1974/10/2,10.381,9.376,8.838,8.52,8.354,8.298,8.244,8.119,8.202,-,-,-,-,-,-
1974/10/3,10.388,9.378,8.839,8.52,8.354,8.298,8.244,8.12,8.203,-,-,-,-,-,-
1974/10/4,10.395,9.379,8.84,8.521,8.355,8.298,8.244,8.12,8.204,-,-,-,-,-,-
1974/10/5,10.402,9.381,8.841,8.522,8.355,8.299,8.244,8.12,8.204,-,-,-,-,-,-
1974/10/7,10.416,9.385,8.843,8.523,8.356,8.299,8.244,8.12,8.206,-,-,-,-,-,-
1974/10/8,10.423,9.386,8.844,8.523,8.357,8.299,8.244,8.121,8.207,-,-,-,-,-,-
1974/10/9,10.43,9.388,8.845,8.524,8.357,8.3,8.244,8.121,8.208,-,-,-,-,-,-
1974/10/11,10.444,9.391,8.847,8.525,8.358,8.3,8.244,8.121,8.209,-,-,-,-,-,-
1974/10/12,10.451,9.393,8.847,8.526,8.359,8.3,8.244,8.122,8.21,-,-,-,-,-,-
1974/10/14,10.465,9.396,8.85,8.527,8.359,8.301,8.244,8.122,8.212,-,-,-,-,-,-
1974/10/15,10.472,9.398,8.851,8.528,8.36,8.301,8.244,8.122,8.212,-,-,-,-,-,-
1974/10/16,10.479,9.4,8.852,8.528,8.36,8.301,8.245,8.123,8.213,-,-,-,-,-,-
1974/10/17,10.487,9.401,8.853,8.529,8.361,8.301,8.245,8.123,8.214,-,-,-,-,-,-
1974/10/18,10.494,9.403,8.854,8.53,8.361,8.302,8.245,8.123,8.215,-,-,-,-,-,-
1974/10/21,10.515,9.408,8.857,8.531,8.362,8.302,8.245,8.124,8.217,-,-,-,-,-,-
1974/10/22,10.523,9.41,8.858,8.532,8.363,8.303,8.245,8.124,8.218,-,-,-,-,-,-
1974/10/23,10.53,9.411,8.859,8.533,8.363,8.303,8.245,8.124,8.219,-,-,-,-,-,-
1974/10/24,10.537,9.413,8.86,8.533,8.364,8.303,8.245,8.125,8.219,-,-,-,-,-,-
1974/10/25,10.545,9.415,8.861,8.534,8.364,8.303,8.245,8.125,8.22,-,-,-,-,-,-
1974/10/26,10.552,9.416,8.862,8.534,8.365,8.303,8.245,8.125,8.221,-,-,-,-,-,-
1974/10/28,10.567,9.419,8.864,8.536,8.366,8.304,8.245,8.126,8.223,-,-,-,-,-,-
1974/10/29,10.574,9.421,8.865,8.536,8.366,8.304,8.245,8.126,8.223,-,-,-,-,-,-
1974/10/30,10.582,9.423,8.866,8.537,8.366,8.304,8.245,8.127,8.224,-,-,-,-,-,-
1974/10/31,10.589,9.424,8.867,8.537,8.367,8.305,8.245,8.127,8.225,-,-,-,-,-,-
1974/11/1,10.596,9.426,8.868,8.538,8.367,8.305,8.245,8.127,8.226,-,-,-,-,-,-
1974/11/2,10.604,9.428,8.869,8.539,8.368,8.305,8.245,8.127,8.226,-,-,-,-,-,-
1974/11/5,10.626,9.432,8.872,8.541,8.369,8.306,8.245,8.128,8.229,-,-,-,-,-,-
